,accommodates,bathrooms,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,host_response,amenities_ratio,property_type_Condominium,property_type_Guesthouse,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,room_type_Private room,room_type_Shared room,cancellation_policy_moderate,cancellation_policy_strict,regions_Brooklyn,regions_Chicago,regions_LA Mains,regions_New York Mains,regions_Other,regions_Queens,regions_San Francisco,regions_Santa Clarita,regions_Washington
84,2,1.0,1,1,0,2,100.0,1.0,1.0,1,0.3888888888888889,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
85,4,1.0,1,1,0,27,93.0,1.0,3.0,1,0.3333333333333333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
86,8,1.0,1,0,0,32,84.0,3.0,4.0,0,0.1388888888888889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
87,3,1.0,1,1,0,1,100.0,1.0,2.0,0,0.3472222222222222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
88,2,1.0,1,1,1,27,92.0,0.0,1.0,1,0.2777777777777778,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
89,4,1.0,1,1,0,42,96.0,1.0,2.0,1,0.3055555555555556,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
90,2,1.0,0,0,0,11,95.0,1.0,1.0,1,0.3055555555555556,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
91,1,1.0,0,1,1,1,20.0,1.0,1.0,1,0.1527777777777778,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
92,8,3.0,1,1,0,1,80.0,4.0,5.0,1,0.125,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
93,2,1.0,1,1,0,7,100.0,1.0,1.0,1,0.3333333333333333,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
94,6,2.0,1,1,0,5,100.0,4.0,4.0,1,0.2361111111111111,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
95,2,1.0,1,0,0,3,87.0,1.0,1.0,1,0.16666666666666666,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
96,2,1.0,0,0,0,1,100.0,1.0,1.0,1,0.1111111111111111,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
97,4,1.0,1,1,0,16,96.0,1.0,1.0,1,0.5555555555555556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
98,2,1.0,0,1,0,64,91.0,1.0,2.0,1,0.19444444444444445,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
99,3,1.0,0,1,1,24,89.0,1.0,1.0,0,0.18055555555555555,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
100,4,1.0,1,0,0,20,99.0,1.0,2.0,1,0.16666666666666666,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
101,2,1.0,1,1,0,35,94.0,1.0,1.0,1,0.16666666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
102,1,1.0,1,0,1,7,93.0,1.0,1.0,0,0.2222222222222222,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
103,2,2.5,1,1,0,44,91.0,1.0,2.0,1,0.3055555555555556,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
104,2,1.0,1,1,0,1,60.0,1.0,1.0,0,0.1388888888888889,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
105,2,1.0,1,1,0,23,97.0,1.0,1.0,1,0.3194444444444444,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
106,5,1.0,1,1,1,55,99.0,2.0,3.0,1,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
107,1,2.0,0,0,0,1,100.0,1.0,1.0,1,0.05555555555555555,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
108,3,1.0,1,1,0,9,89.0,1.0,1.0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,2,1.0,1,1,0,18,94.0,1.0,1.0,1,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
110,8,2.5,1,1,1,19,85.0,3.0,3.0,1,0.20833333333333334,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,3,1.0,0,0,0,2,100.0,0.0,1.0,1,0.18055555555555555,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
112,2,1.0,0,1,1,12,100.0,1.0,1.0,1,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,6,2.0,1,1,0,53,92.0,2.0,3.0,0,0.3194444444444444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
114,2,1.0,0,1,0,33,95.0,1.0,1.0,0,0.09722222222222222,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
115,2,1.0,1,1,0,4,100.0,1.0,1.0,1,0.2361111111111111,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
116,2,1.0,1,1,0,159,90.0,1.0,1.0,1,0.2638888888888889,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
117,6,1.0,1,1,0,4,100.0,2.0,3.0,1,0.1527777777777778,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
118,2,1.0,0,1,0,72,93.0,1.0,1.0,1,0.16666666666666666,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
119,2,1.0,0,0,1,2,100.0,1.0,1.0,0,0.125,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
120,1,1.0,1,1,0,7,97.0,1.0,1.0,1,0.2916666666666667,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
121,1,1.0,0,0,0,4,75.0,0.0,1.0,0,0.18055555555555555,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
122,5,1.0,1,0,0,8,91.0,3.0,3.0,1,0.1388888888888889,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
123,4,1.0,0,1,1,2,100.0,2.0,2.0,1,0.2222222222222222,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
124,4,1.0,1,0,0,102,89.0,2.0,2.0,1,0.20833333333333334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
125,7,1.0,1,1,0,136,94.0,2.0,3.0,1,0.25,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
126,5,1.0,0,0,0,2,80.0,2.0,2.0,1,0.2916666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
127,2,1.0,1,1,0,21,93.0,1.0,1.0,0,0.2777777777777778,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
128,2,1.0,1,1,0,9,97.0,1.0,1.0,0,0.1527777777777778,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,5,2.0,1,1,0,1,100.0,2.0,1.0,1,0.3888888888888889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,4,1.0,1,1,0,85,99.0,2.0,3.0,1,0.2777777777777778,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
131,2,1.0,1,1,0,59,97.0,1.0,1.0,1,0.20833333333333334,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
132,12,2.0,1,1,0,12,82.0,5.0,5.0,0,0.2361111111111111,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
133,5,2.0,1,1,0,4,100.0,2.0,3.0,0,0.4861111111111111,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,3,1.0,1,1,0,17,98.0,1.0,2.0,1,0.4444444444444444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
135,5,2.5,1,1,0,13,100.0,2.0,2.0,1,0.2638888888888889,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
136,1,1.0,1,0,1,1,100.0,1.0,1.0,0,0.2638888888888889,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
137,3,2.0,1,1,1,35,97.0,2.0,2.0,1,0.3194444444444444,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
138,4,1.0,1,1,1,33,91.0,1.0,1.0,1,0.1111111111111111,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
139,4,1.0,1,1,0,19,98.0,0.0,2.0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
140,2,1.0,1,1,0,1,100.0,1.0,2.0,1,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
141,4,1.0,1,0,1,43,90.0,1.0,1.0,0,0.2222222222222222,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
142,8,2.0,1,1,0,54,88.0,2.0,3.0,1,0.4305555555555556,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
143,2,1.0,0,1,0,45,98.0,1.0,1.0,1,0.2777777777777778,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
144,1,1.0,1,1,0,92,97.0,1.0,1.0,1,0.2638888888888889,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
145,2,1.0,1,1,0,43,94.0,0.0,1.0,1,0.3055555555555556,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
146,6,1.5,0,1,0,10,96.0,3.0,3.0,1,0.2777777777777778,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
147,4,1.0,1,1,0,1,80.0,1.0,2.0,1,0.2638888888888889,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
148,2,1.0,1,1,0,4,100.0,1.0,1.0,0,0.3055555555555556,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
149,2,1.0,0,1,0,4,95.0,1.0,1.0,0,0.3333333333333333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
150,2,1.0,0,0,0,4,75.0,1.0,1.0,1,0.18055555555555555,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
151,2,0.5,0,0,0,178,86.0,1.0,1.0,0,0.20833333333333334,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
152,3,1.0,0,0,1,17,100.0,1.0,2.0,1,0.20833333333333334,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
153,4,1.5,1,1,0,8,95.0,2.0,2.0,1,0.3055555555555556,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
154,6,1.0,1,1,0,219,93.0,2.0,3.0,1,0.2638888888888889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
155,2,1.0,0,1,0,25,97.0,1.0,1.0,1,0.2361111111111111,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
156,6,1.0,1,1,0,56,91.0,2.0,5.0,1,0.2638888888888889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
157,11,2.0,1,1,0,46,100.0,3.0,5.0,1,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
158,2,1.0,0,1,0,30,92.0,1.0,1.0,1,0.09722222222222222,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
159,2,1.0,1,1,0,12,88.0,1.0,1.0,0,0.16666666666666666,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
160,2,1.0,1,1,0,52,100.0,1.0,1.0,1,0.2916666666666667,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
161,3,1.5,1,1,0,175,80.0,1.0,2.0,0,0.16666666666666666,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
162,3,1.0,1,1,0,21,94.0,0.0,1.0,1,0.2638888888888889,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
163,6,1.0,1,1,0,69,94.0,1.0,3.0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
164,4,1.0,0,0,0,19,98.0,2.0,3.0,1,0.2638888888888889,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
165,9,1.0,1,1,1,10,98.0,4.0,5.0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166,2,1.0,1,1,1,57,96.0,0.0,1.0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
167,3,1.0,1,1,0,13,98.0,1.0,1.0,0,0.2222222222222222,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
168,5,1.0,1,1,1,16,98.0,2.0,3.0,1,0.2222222222222222,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
169,2,1.0,0,0,0,8,93.0,1.0,1.0,0,0.18055555555555555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
170,2,1.5,1,1,0,69,97.0,1.0,1.0,1,0.3472222222222222,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
171,3,1.0,1,1,0,57,93.0,1.0,2.0,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
172,4,1.0,1,1,0,16,97.0,2.0,3.0,1,0.3472222222222222,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
173,2,1.0,0,1,0,20,95.0,0.0,1.0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
174,3,1.0,1,1,0,1,100.0,1.0,1.0,1,0.3472222222222222,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
175,3,1.0,0,1,0,28,94.0,1.0,2.0,1,0.3888888888888889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
