property_type,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,price,host_response,amenities_ratio,regions
5,1,2,1.0,2,1,1,0,73,98.0,1.0,1.0,74.99999999999997,1,0.22077922077922077,7
6,1,2,1.0,2,1,1,1,1,100.0,1.0,1.0,79.99999999999997,0,0.16883116883116883,4
6,2,4,1.0,2,1,1,0,72,93.0,1.0,2.0,149.0,1,0.14285714285714285,6
5,2,4,1.0,2,1,0,0,38,94.0,1.0,3.0,138.00000000000006,1,0.2987012987012987,1
5,1,2,1.0,2,0,0,0,22,95.0,1.0,1.0,88.99999999999999,1,0.12987012987012986,9
6,2,2,1.0,1,0,1,0,44,91.0,0.0,1.0,119.00000000000013,0,0.16883116883116883,9
6,2,5,1.0,2,1,1,1,4,100.0,1.0,3.0,208.0,1,0.3246753246753247,7
1,0,1,2.0,2,0,1,1,40,96.0,1.0,1.0,50.000000000000036,0,0.2727272727272727,7
6,2,2,1.0,2,0,1,0,8,93.0,1.0,1.0,52.000000000000036,1,0.15584415584415584,4
6,2,2,1.0,2,1,1,1,2,100.0,0.0,1.0,88.00000000000004,1,0.2727272727272727,7
5,2,5,2.0,1,1,1,1,8,100.0,3.0,3.0,249.99999999999991,1,0.2857142857142857,6
6,1,2,1.0,2,1,1,1,17,92.0,1.0,1.0,64.99999999999999,1,0.2077922077922078,8
5,2,4,1.0,2,1,1,1,12,97.0,1.0,2.0,103.0000000000001,1,0.33766233766233766,1
6,2,2,1.0,2,1,1,0,18,98.0,0.0,1.0,64.99999999999999,1,0.2597402597402597,7
6,1,4,1.0,1,1,1,1,28,89.0,1.0,3.0,125.00000000000004,1,0.22077922077922077,8
6,2,2,1.0,1,1,1,0,3,100.0,0.0,1.0,155.00000000000003,0,0.12987012987012986,0
1,2,4,1.0,2,1,1,0,6,100.0,1.0,2.0,169.0,0,0.3116883116883117,7
6,2,2,1.0,1,1,1,1,17,85.0,0.0,1.0,102.00000000000004,1,0.11688311688311688,9
6,1,1,1.0,0,0,0,0,36,90.0,1.0,1.0,30.000000000000004,0,0.06493506493506493,7
6,1,2,0.0,1,1,0,0,15,88.0,1.0,1.0,34.99999999999999,0,0.09090909090909091,0
6,1,2,1.0,0,1,0,0,1,100.0,1.0,1.0,99.0,1,0.2727272727272727,9
6,1,2,1.0,2,1,1,0,16,94.0,1.0,1.0,85.00000000000001,1,0.23376623376623376,9
6,1,2,1.0,2,1,0,1,2,90.0,1.0,1.0,179.9999999999999,1,0.11688311688311688,7
6,2,3,1.0,1,1,1,0,23,99.0,1.0,1.0,289.99999999999994,1,0.19480519480519481,9
6,2,5,1.0,1,1,1,0,7,100.0,2.0,2.0,375.0000000000005,1,0.23376623376623376,6
6,2,2,1.0,1,1,0,1,8,100.0,0.0,1.0,85.00000000000001,0,0.3116883116883117,8
6,1,2,1.5,0,1,1,0,11,94.0,1.0,1.0,110.00000000000004,1,0.2077922077922078,9
6,2,4,1.0,2,1,1,0,17,85.0,1.0,2.0,108.99999999999996,1,0.24675324675324675,7
6,0,7,1.0,2,1,1,0,2,100.0,1.0,2.0,55.00000000000002,1,0.2987012987012987,7
6,2,2,1.0,2,1,1,0,12,93.0,0.0,1.0,115.0,1,0.2857142857142857,9
5,2,8,4.0,1,1,1,0,12,98.0,4.0,4.0,950.0000000000017,1,0.4025974025974026,7
3,2,3,1.0,2,1,0,0,30,95.0,1.0,1.0,64.99999999999999,1,0.35064935064935066,1
6,2,6,1.0,2,1,0,0,1,60.0,2.0,3.0,275.00000000000057,1,0.2727272727272727,9
6,2,3,1.0,1,1,0,1,5,100.0,0.0,1.0,184.99999999999991,1,0.3116883116883117,9
3,1,2,1.0,1,1,1,1,123,97.0,1.0,1.0,99.0,1,0.2857142857142857,6
5,1,2,1.0,2,1,1,0,63,94.0,1.0,1.0,199.0,1,0.18181818181818182,9
6,2,2,1.0,1,1,0,1,13,100.0,0.0,1.0,104.99999999999996,1,0.12987012987012986,9
3,1,2,1.5,1,1,1,1,70,95.0,1.0,2.0,38.99999999999999,1,0.3116883116883117,5
5,1,2,1.0,2,1,1,0,78,97.0,1.0,1.0,46.0,1,0.3116883116883117,5
5,1,2,1.0,0,0,1,1,18,94.0,1.0,1.0,79.0,0,0.2987012987012987,0
2,2,6,1.0,1,1,1,0,30,99.0,1.0,3.0,136.00000000000006,1,0.4935064935064935,9
4,1,1,1.0,0,1,1,0,1,100.0,1.0,1.0,89.99999999999967,1,0.2987012987012987,7
6,2,4,1.0,2,1,1,0,54,98.0,1.0,1.0,125.00000000000004,1,0.2987012987012987,5
5,1,2,1.0,0,1,1,1,27,93.0,1.0,1.0,100.00000000000004,1,0.2857142857142857,7
6,2,2,1.0,2,0,0,0,52,95.0,0.0,1.0,139.99999999999994,1,0.2857142857142857,6
6,1,2,1.0,2,1,1,0,42,95.0,1.0,1.0,70.00000000000003,1,0.33766233766233766,8
5,1,2,1.5,0,1,1,0,5,100.0,1.0,1.0,55.00000000000002,1,0.2077922077922078,8
5,2,6,2.0,1,1,0,0,17,96.0,3.0,4.0,380.00000000000006,0,0.16883116883116883,6
5,1,3,2.0,2,0,1,1,31,92.0,1.0,1.0,50.000000000000036,1,0.3246753246753247,2
6,1,3,1.0,2,1,1,1,27,88.0,1.0,2.0,100.00000000000004,0,0.2597402597402597,8
5,0,4,1.0,0,1,1,0,4,100.0,1.0,4.0,28.99999999999999,1,0.24675324675324675,8
6,2,2,1.0,1,1,0,1,1,100.0,1.0,1.0,300.00000000000017,1,0.23376623376623376,9
6,2,4,1.0,2,1,0,0,5,96.0,2.0,4.0,300.00000000000017,1,0.14285714285714285,6
4,2,2,1.0,2,1,1,0,7,100.0,1.0,2.0,270.00000000000006,1,0.2077922077922078,4
6,2,4,1.0,2,1,1,1,9,87.0,0.0,2.0,85.00000000000001,1,0.19480519480519481,7
6,2,6,1.0,2,1,0,0,26,82.0,2.0,4.0,99.0,1,0.24675324675324675,7
6,1,2,1.0,1,0,1,0,75,95.0,1.0,1.0,79.0,1,0.2597402597402597,8
6,2,4,1.0,0,0,1,0,8,88.0,1.0,2.0,149.99999999999997,1,0.18181818181818182,8
6,2,6,2.0,1,1,1,0,43,100.0,2.0,2.0,199.0,1,0.3246753246753247,5
6,1,1,1.0,1,1,1,0,3,93.0,1.0,1.0,32.999999999999986,1,0.15584415584415584,8
6,2,2,1.0,2,0,1,0,128,95.0,1.0,1.0,175.00000000000009,1,0.12987012987012986,4
5,1,1,1.0,1,1,1,1,60,93.0,1.0,1.0,55.00000000000002,1,0.2987012987012987,8
6,2,2,1.0,1,1,1,0,90,98.0,1.0,1.0,125.00000000000004,1,0.2597402597402597,6
6,2,3,1.0,2,1,1,1,15,94.0,1.0,2.0,128.99999999999997,1,0.4025974025974026,4
6,1,2,1.0,1,0,0,0,1,100.0,1.0,1.0,74.99999999999997,1,0.14285714285714285,2
6,2,6,2.0,2,0,1,1,22,95.0,2.0,3.0,258.99999999999994,1,0.2857142857142857,7
1,2,2,1.0,2,1,1,0,14,97.0,1.0,1.0,144.99999999999997,0,0.2597402597402597,8
1,2,4,2.0,1,1,1,0,18,95.0,2.0,2.0,199.99999999999991,1,0.2857142857142857,3
5,1,3,1.0,1,1,1,0,254,95.0,0.0,1.0,125.00000000000004,1,0.5324675324675324,6
6,1,2,1.0,2,1,1,0,21,93.0,1.0,1.0,70.00000000000003,1,0.11688311688311688,8
6,2,4,1.0,1,1,1,0,29,99.0,2.0,2.0,195.0,1,0.35064935064935066,7
6,2,2,1.0,1,1,1,0,7,91.0,1.0,1.0,99.0,1,0.16883116883116883,1
6,2,4,1.0,2,0,1,0,13,93.0,2.0,2.0,398.9999999999994,1,0.2597402597402597,9
5,1,2,1.0,1,1,1,0,12,93.0,1.0,1.0,55.00000000000002,1,0.16883116883116883,5
6,1,1,1.0,1,1,1,0,10,90.0,1.0,1.0,59.00000000000002,1,0.12987012987012986,9
1,2,4,1.0,1,1,1,0,44,99.0,1.0,2.0,175.00000000000009,1,0.19480519480519481,9
5,1,1,2.0,0,1,0,0,2,100.0,1.0,1.0,30.000000000000004,0,0.24675324675324675,5
6,2,8,2.0,2,1,1,1,54,94.0,2.0,4.0,249.99999999999991,1,0.42857142857142855,6
6,2,4,2.0,2,1,0,1,36,98.0,2.0,2.0,159.0,1,0.35064935064935066,8
5,2,6,1.0,2,1,1,1,14,99.0,2.0,2.0,152.0,1,0.36363636363636365,7
6,1,2,1.0,2,1,1,1,6,100.0,1.0,1.0,65.99999999999997,1,0.19480519480519481,9
6,1,1,1.0,2,1,1,0,18,99.0,1.0,1.0,68.00000000000001,1,0.2597402597402597,3
4,2,6,2.0,1,1,0,1,29,96.0,2.0,4.0,128.99999999999997,1,0.33766233766233766,3
6,2,2,1.0,1,1,0,0,19,96.0,1.0,1.0,199.99999999999991,0,0.15584415584415584,9
6,2,2,1.0,2,1,0,0,4,90.0,0.0,1.0,169.99999999999991,1,0.15584415584415584,9
5,2,4,1.0,0,1,1,1,6,100.0,2.0,2.0,155.00000000000003,1,0.2727272727272727,7
6,2,3,1.0,2,1,1,0,11,94.0,1.0,2.0,115.0,1,0.2597402597402597,9
6,2,2,1.5,0,1,0,0,43,92.0,1.0,1.0,179.9999999999999,1,0.2077922077922078,9
6,1,2,1.0,0,0,0,0,28,96.0,1.0,1.0,69.00000000000001,1,0.16883116883116883,5
6,2,8,1.0,2,1,0,0,13,82.0,2.0,2.0,195.0,1,0.15584415584415584,8
5,2,4,1.0,2,1,1,1,30,97.0,1.0,2.0,99.0,1,0.23376623376623376,7
6,2,6,2.0,2,1,0,1,32,99.0,1.0,3.0,300.00000000000017,1,0.23376623376623376,9
6,2,2,1.0,2,1,1,0,7,100.0,1.0,1.0,74.99999999999997,1,0.2077922077922078,8
4,2,3,1.0,2,1,1,0,3,80.0,0.0,1.0,329.0000000000003,1,0.38961038961038963,9
5,1,3,1.0,2,0,0,0,10,80.0,1.0,2.0,59.00000000000002,0,0.2597402597402597,2
5,1,2,1.0,1,1,1,0,28,98.0,1.0,1.0,160.00000000000026,1,0.42857142857142855,6
1,1,4,1.0,2,1,1,0,14,94.0,1.0,1.0,85.00000000000001,1,0.33766233766233766,3
1,2,3,1.0,1,1,1,0,3,100.0,1.0,2.0,260.00000000000017,0,0.22077922077922077,8
6,1,3,1.0,1,1,0,0,24,95.0,1.0,3.0,115.0,1,0.36363636363636365,9
2,1,1,2.5,2,1,1,1,79,100.0,1.0,1.0,88.99999999999999,1,0.19480519480519481,7
3,1,2,1.0,2,1,1,0,6,93.0,1.0,1.0,45.00000000000002,1,0.36363636363636365,3
5,1,5,1.5,2,1,1,0,318,87.0,1.0,2.0,111.99999999999996,1,0.24675324675324675,6
6,2,2,1.0,2,0,1,1,187,85.0,1.0,1.0,224.9999999999998,0,0.15584415584415584,4
5,2,9,3.5,2,1,1,0,1,100.0,4.0,5.0,300.00000000000017,1,0.5584415584415584,4
6,2,5,1.0,2,1,0,0,14,97.0,3.0,3.0,129.99999999999997,1,0.18181818181818182,9
6,2,2,1.0,2,1,0,0,3,87.0,1.0,1.0,214.99999999999991,1,0.38961038961038963,9
5,1,1,1.0,2,1,1,0,7,93.0,1.0,1.0,34.00000000000001,0,0.12987012987012986,0
6,2,2,1.0,2,1,0,0,8,93.0,0.0,1.0,164.9999999999998,0,0.2077922077922078,9
6,2,6,1.0,1,1,1,0,23,100.0,2.0,3.0,175.00000000000009,1,0.4805194805194805,8
6,2,2,1.0,1,1,1,0,1,100.0,1.0,2.0,199.99999999999991,1,0.3246753246753247,8
6,2,2,1.0,0,1,0,0,1,100.0,1.0,1.0,50.000000000000036,0,0.18181818181818182,2
6,1,2,1.0,2,1,1,0,11,98.0,1.0,1.0,88.99999999999999,0,0.2987012987012987,7
1,1,2,2.0,0,1,1,1,5,100.0,1.0,1.0,110.00000000000004,1,0.23376623376623376,8
6,2,3,1.0,2,1,1,1,13,95.0,1.0,2.0,211.00000000000003,1,0.37662337662337664,6
6,1,2,1.0,2,1,0,0,38,96.0,1.0,2.0,74.99999999999997,0,0.22077922077922077,9
2,2,4,1.0,2,0,0,1,10,98.0,2.0,3.0,138.99999999999997,1,0.5714285714285714,2
6,2,2,1.0,2,1,1,0,15,100.0,1.0,2.0,139.99999999999994,1,0.36363636363636365,6
6,1,2,1.0,0,0,1,0,11,93.0,1.0,1.0,64.99999999999999,1,0.14285714285714285,8
5,1,1,1.0,1,1,1,0,23,96.0,1.0,1.0,76.99999999999996,1,0.23376623376623376,0
6,2,3,1.0,1,1,1,0,16,98.0,0.0,1.0,149.99999999999997,1,0.15584415584415584,9
6,2,6,2.0,2,1,0,1,31,96.0,2.0,2.0,199.0,1,0.23376623376623376,7
6,1,2,1.0,1,1,1,0,28,73.0,1.0,2.0,64.99999999999999,0,0.18181818181818182,6
6,2,3,1.0,2,1,1,1,44,90.0,0.0,1.0,119.99999999999996,1,0.23376623376623376,3
6,1,3,2.0,2,1,1,0,70,94.0,1.0,2.0,56.999999999999964,1,0.22077922077922077,8
6,2,4,1.0,2,1,1,1,3,73.0,2.0,2.0,214.99999999999991,0,0.15584415584415584,9
4,1,2,1.0,1,1,1,0,191,97.0,1.0,1.0,115.0,1,0.2597402597402597,6
6,2,2,1.0,2,1,1,0,25,91.0,1.0,2.0,175.00000000000009,1,0.2727272727272727,9
6,1,2,1.0,2,1,1,1,2,100.0,1.0,1.0,74.99999999999997,1,0.2597402597402597,5
5,1,2,1.5,2,1,0,1,39,98.0,1.0,1.0,45.00000000000002,1,0.2727272727272727,7
6,2,3,1.0,2,1,1,1,1,80.0,1.0,1.0,160.00000000000026,1,0.15584415584415584,9
2,2,12,3.5,2,1,1,0,46,85.0,4.0,7.0,400.00000000000017,1,0.2727272727272727,9
4,2,5,1.0,2,1,1,0,32,96.0,1.0,1.0,85.00000000000001,1,0.35064935064935066,3
5,2,6,1.5,1,1,1,0,40,95.0,1.0,2.0,128.99999999999997,1,0.35064935064935066,5
5,2,4,1.0,2,1,0,0,83,96.0,1.0,4.0,310.00000000000006,0,0.2727272727272727,7
5,1,3,1.0,1,1,1,1,46,96.0,1.0,2.0,119.99999999999996,0,0.2727272727272727,6
6,1,1,1.0,1,1,0,0,6,100.0,1.0,1.0,79.99999999999997,0,0.16883116883116883,9
6,1,2,1.0,1,1,1,1,8,89.0,1.0,1.0,79.0,1,0.18181818181818182,8
5,1,1,2.0,2,1,1,0,7,94.0,1.0,1.0,50.000000000000036,0,0.09090909090909091,8
6,2,4,1.0,1,1,1,0,45,87.0,2.0,2.0,199.99999999999991,1,0.16883116883116883,8
5,1,2,1.0,1,1,0,0,21,99.0,1.0,1.0,88.99999999999999,1,0.19480519480519481,6
6,2,4,1.0,2,1,1,1,70,89.0,1.0,2.0,128.99999999999997,0,0.2597402597402597,8
6,2,2,1.0,2,0,1,0,19,91.0,1.0,1.0,125.00000000000004,1,0.2727272727272727,7
6,1,2,1.0,1,1,1,0,4,80.0,1.0,1.0,70.00000000000003,1,0.2077922077922078,1
4,2,2,1.0,1,1,0,0,41,99.0,1.0,1.0,195.0,1,0.5584415584415584,4
6,2,2,1.0,2,1,1,0,9,93.0,0.0,1.0,119.99999999999996,1,0.22077922077922077,0
5,2,5,1.0,2,1,1,0,79,92.0,3.0,3.0,95.0,1,0.2727272727272727,8
6,2,4,1.0,2,1,1,0,23,88.0,1.0,1.0,179.9999999999999,0,0.23376623376623376,7
6,2,4,1.0,2,1,1,0,19,94.0,1.0,3.0,129.99999999999997,1,0.2857142857142857,2
5,2,2,1.0,2,1,1,0,15,95.0,1.0,1.0,99.0,1,0.2077922077922078,8
6,1,2,1.0,1,1,1,1,49,99.0,1.0,2.0,70.00000000000003,0,0.2987012987012987,7
6,2,2,1.0,2,1,1,0,12,94.0,1.0,1.0,147.99999999999994,1,0.1038961038961039,9
5,1,2,2.0,2,1,1,0,289,87.0,1.0,1.0,78.0,1,0.16883116883116883,6
6,2,5,1.0,2,1,0,1,43,95.0,2.0,3.0,491.9999999999994,1,0.2727272727272727,9
6,1,2,1.0,2,1,1,0,54,98.0,1.0,1.0,124.00000000000004,1,0.2077922077922078,6
6,0,1,1.0,2,1,1,1,72,93.0,1.0,3.0,50.000000000000036,0,0.2857142857142857,7
6,1,3,1.5,2,1,1,0,12,88.0,1.0,2.0,89.99999999999967,0,0.2597402597402597,6
6,1,2,2.0,0,1,1,0,4,100.0,1.0,1.0,50.000000000000036,1,0.3246753246753247,0
2,2,5,1.5,2,1,1,0,17,96.0,2.0,3.0,129.99999999999997,1,0.6363636363636364,2
6,1,2,2.0,0,1,1,0,1,100.0,1.0,1.0,89.99999999999967,1,0.1038961038961039,9
3,2,4,1.0,2,0,1,0,11,100.0,1.0,2.0,278.99999999999994,1,0.2077922077922078,6
6,2,3,1.0,2,1,1,0,190,97.0,0.0,2.0,164.9999999999998,1,0.2857142857142857,6
6,2,3,1.0,2,1,1,1,9,98.0,1.0,2.0,138.00000000000006,1,0.2727272727272727,9
5,2,6,1.0,1,1,0,1,6,97.0,3.0,3.0,119.99999999999996,1,0.4675324675324675,8
6,1,2,1.5,1,0,0,0,10,94.0,1.0,1.0,100.00000000000004,1,0.15584415584415584,9
6,1,4,1.0,0,1,1,0,25,98.0,1.0,1.0,245.00000000000009,1,0.18181818181818182,9
2,1,2,1.5,0,1,1,0,41,99.0,1.0,1.0,88.99999999999999,1,0.2857142857142857,1
5,1,2,1.0,1,1,0,0,7,93.0,1.0,1.0,64.99999999999999,0,0.22077922077922077,0
3,1,1,1.0,2,0,0,0,61,85.0,1.0,1.0,81.00000000000003,1,0.12987012987012986,9
5,1,2,1.5,0,0,1,0,1,100.0,1.0,1.0,89.99999999999967,0,0.2727272727272727,8
6,2,3,1.0,2,1,0,0,28,90.0,1.0,1.0,125.00000000000004,1,0.16883116883116883,9
5,2,8,1.0,2,1,0,0,2,100.0,4.0,4.0,268.9999999999995,1,0.2597402597402597,8
