,property_type,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,host_identity_verified,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,price,host_response,amenities_ratio,regions
45,6,1,2,1.0,2,1,1,1,13,94.0,1.0,1.0,87.0,1,0.3246753246753247,9
49,3,1,2,1.0,1,0,1,0,120,90.0,0.0,1.0,88.99999999999999,1,0.2987012987012987,7
50,6,1,2,1.0,0,1,1,0,10,98.0,1.0,1.0,34.99999999999999,1,0.15584415584415584,8
53,6,2,4,1.0,2,1,0,0,25,94.0,2.0,3.0,149.99999999999997,1,0.2727272727272727,8
54,6,2,2,1.0,1,1,1,0,2,100.0,1.0,1.0,254.99999999999991,1,0.1948051948051948,9
55,5,1,4,1.0,0,1,1,0,61,99.0,2.0,2.0,100.00000000000004,1,0.3896103896103896,4
56,4,1,1,1.0,2,1,1,0,13,95.0,1.0,1.0,100.00000000000004,1,0.3116883116883117,8
57,4,2,5,1.0,2,1,0,0,15,97.0,2.0,3.0,263.99999999999994,1,0.24675324675324675,8
59,5,2,6,2.0,1,1,1,0,26,100.0,2.0,3.0,239.99999999999974,1,0.5454545454545454,7
60,6,2,2,1.0,2,1,0,0,8,100.0,0.0,1.0,68.00000000000001,1,0.11688311688311688,7
61,5,2,2,1.0,2,1,1,1,43,97.0,1.0,1.0,74.99999999999997,1,0.2987012987012987,1
62,6,2,2,1.0,1,0,1,0,44,94.0,0.0,2.0,78.0,1,0.14285714285714285,8
64,6,2,2,1.0,0,0,0,0,16,93.0,1.0,1.0,85.00000000000001,1,0.11688311688311688,8
65,6,1,2,1.0,0,1,0,0,1,100.0,1.0,1.0,79.99999999999997,1,0.3116883116883117,9
66,4,2,3,1.0,0,0,1,0,5,100.0,2.0,2.0,175.00000000000009,1,0.2207792207792208,4
67,5,1,2,1.0,1,1,1,0,14,99.0,1.0,1.0,34.99999999999999,1,0.18181818181818185,0
70,6,2,2,1.0,0,1,1,0,2,100.0,1.0,1.0,99.0,1,0.42857142857142855,9
72,6,2,3,1.0,0,1,1,0,11,94.0,1.0,2.0,175.00000000000009,1,0.3376623376623377,9
73,5,1,2,1.0,2,1,1,1,36,96.0,1.0,1.0,98.00000000000004,0,0.2987012987012987,7
76,6,1,2,1.0,0,1,1,1,9,100.0,1.0,1.0,79.99999999999997,1,0.16883116883116886,8
77,5,1,2,1.0,1,1,1,0,102,95.0,1.0,1.0,125.00000000000004,0,0.23376623376623376,6
78,6,1,2,1.5,1,1,0,0,2,100.0,1.0,1.0,62.00000000000001,1,0.2597402597402597,8
79,5,2,4,1.5,1,1,0,0,4,100.0,2.0,2.0,184.99999999999991,1,0.2857142857142857,5
80,6,2,5,2.0,1,1,1,0,3,100.0,2.0,3.0,389.0000000000005,0,0.4805194805194805,4
81,6,1,2,2.0,2,0,1,0,23,93.0,1.0,1.0,50.000000000000036,1,0.2077922077922078,7
82,6,1,2,1.0,2,1,0,0,9,91.0,1.0,1.0,70.00000000000003,1,0.2207792207792208,9
83,6,2,2,1.0,2,1,1,0,51,93.0,0.0,2.0,81.99999999999993,1,0.35064935064935066,7
84,6,2,2,1.0,1,0,0,0,43,92.0,0.0,1.0,89.99999999999967,1,0.2077922077922078,8
85,3,1,2,1.0,0,1,1,1,22,96.0,1.0,1.0,108.99999999999996,0,0.2727272727272727,6
87,5,1,1,1.5,0,0,0,1,4,90.0,1.0,1.0,28.99999999999999,0,0.2207792207792208,1
88,6,2,4,2.0,1,1,0,0,28,99.0,2.0,3.0,295.0000000000001,1,0.3636363636363637,9
90,6,2,4,2.0,2,1,1,0,26,98.0,2.0,2.0,289.0000000000003,1,0.24675324675324675,7
92,5,1,2,1.0,2,1,1,0,73,98.0,1.0,1.0,74.99999999999997,1,0.2207792207792208,7
93,6,1,2,1.0,2,1,1,1,1,100.0,1.0,1.0,79.99999999999997,0,0.16883116883116886,4
94,6,2,4,1.0,2,1,1,0,72,93.0,1.0,2.0,149.0,1,0.14285714285714285,6
95,5,2,4,1.0,2,1,0,0,38,94.0,1.0,3.0,138.00000000000006,1,0.2987012987012987,1
96,5,1,2,1.0,2,0,0,0,22,95.0,1.0,1.0,88.99999999999999,1,0.12987012987012986,9
97,6,2,2,1.0,1,0,1,0,44,91.0,0.0,1.0,119.00000000000013,0,0.16883116883116886,9
98,6,2,5,1.0,2,1,1,1,4,100.0,1.0,3.0,208.0,1,0.3246753246753247,7
99,1,0,1,2.0,2,0,1,1,40,96.0,1.0,1.0,50.000000000000036,0,0.2727272727272727,7
100,6,2,2,1.0,2,0,1,0,8,93.0,1.0,1.0,52.000000000000036,1,0.15584415584415584,4
101,6,2,2,1.0,2,1,1,1,2,100.0,0.0,1.0,88.00000000000004,1,0.2727272727272727,7
103,6,1,2,1.0,2,1,1,1,17,92.0,1.0,1.0,64.99999999999999,1,0.2077922077922078,8
104,5,2,4,1.0,2,1,1,1,12,97.0,1.0,2.0,103.0000000000001,1,0.3376623376623377,1
105,6,2,2,1.0,2,1,1,0,18,98.0,0.0,1.0,64.99999999999999,1,0.2597402597402597,7
106,6,1,4,1.0,1,1,1,1,28,89.0,1.0,3.0,125.00000000000004,1,0.2207792207792208,8
107,6,2,2,1.0,1,1,1,0,3,100.0,0.0,1.0,155.00000000000003,0,0.12987012987012986,0
108,1,2,4,1.0,2,1,1,0,6,100.0,1.0,2.0,169.0,0,0.3116883116883117,7
110,6,1,1,1.0,0,0,0,0,36,90.0,1.0,1.0,30.000000000000004,0,0.06493506493506493,7
111,6,1,2,0.0,1,1,0,0,15,88.0,1.0,1.0,34.99999999999999,0,0.09090909090909093,0
112,6,1,2,1.0,0,1,0,0,1,100.0,1.0,1.0,99.0,1,0.2727272727272727,9
113,6,1,2,1.0,2,1,1,0,16,94.0,1.0,1.0,85.00000000000001,1,0.23376623376623376,9
114,6,1,2,1.0,2,1,0,1,2,90.0,1.0,1.0,179.99999999999991,1,0.11688311688311688,7
115,6,2,3,1.0,1,1,1,0,23,99.0,1.0,1.0,289.99999999999994,1,0.1948051948051948,9
116,6,2,5,1.0,1,1,1,0,7,100.0,2.0,2.0,375.0000000000005,1,0.23376623376623376,6
117,6,2,2,1.0,1,1,0,1,8,100.0,0.0,1.0,85.00000000000001,0,0.3116883116883117,8
118,6,1,2,1.5,0,1,1,0,11,94.0,1.0,1.0,110.00000000000004,1,0.2077922077922078,9
121,6,2,2,1.0,2,1,1,0,12,93.0,0.0,1.0,115.0,1,0.2857142857142857,9
123,3,2,3,1.0,2,1,0,0,30,95.0,1.0,1.0,64.99999999999999,1,0.35064935064935066,1
125,6,2,3,1.0,1,1,0,1,5,100.0,0.0,1.0,184.99999999999991,1,0.3116883116883117,9
126,3,1,2,1.0,1,1,1,1,123,97.0,1.0,1.0,99.0,1,0.2857142857142857,6
127,5,1,2,1.0,2,1,1,0,63,94.0,1.0,1.0,199.0,1,0.18181818181818185,9
128,6,2,2,1.0,1,1,0,1,13,100.0,0.0,1.0,104.99999999999996,1,0.12987012987012986,9
129,3,1,2,1.5,1,1,1,1,70,95.0,1.0,2.0,38.99999999999999,1,0.3116883116883117,5
130,5,1,2,1.0,2,1,1,0,78,97.0,1.0,1.0,46.0,1,0.3116883116883117,5
131,5,1,2,1.0,0,0,1,1,18,94.0,1.0,1.0,79.0,0,0.2987012987012987,0
132,2,2,6,1.0,1,1,1,0,30,99.0,1.0,3.0,136.00000000000006,1,0.4935064935064935,9
133,4,1,1,1.0,0,1,1,0,1,100.0,1.0,1.0,89.99999999999967,1,0.2987012987012987,7
134,6,2,4,1.0,2,1,1,0,54,98.0,1.0,1.0,125.00000000000004,1,0.2987012987012987,5
135,5,1,2,1.0,0,1,1,1,27,93.0,1.0,1.0,100.00000000000004,1,0.2857142857142857,7
136,6,2,2,1.0,2,0,0,0,52,95.0,0.0,1.0,139.99999999999994,1,0.2857142857142857,6
137,6,1,2,1.0,2,1,1,0,42,95.0,1.0,1.0,70.00000000000003,1,0.3376623376623377,8
138,5,1,2,1.5,0,1,1,0,5,100.0,1.0,1.0,55.00000000000002,1,0.2077922077922078,8
140,5,1,3,2.0,2,0,1,1,31,92.0,1.0,1.0,50.000000000000036,1,0.3246753246753247,2
141,6,1,3,1.0,2,1,1,1,27,88.0,1.0,2.0,100.00000000000004,0,0.2597402597402597,8
143,6,2,2,1.0,1,1,0,1,1,100.0,1.0,1.0,300.00000000000017,1,0.23376623376623376,9
145,4,2,2,1.0,2,1,1,0,7,100.0,1.0,2.0,270.00000000000006,1,0.2077922077922078,4
148,6,1,2,1.0,1,0,1,0,75,95.0,1.0,1.0,79.0,1,0.2597402597402597,8
149,6,2,4,1.0,0,0,1,0,8,88.0,1.0,2.0,149.99999999999997,1,0.18181818181818185,8
150,6,2,6,2.0,1,1,1,0,43,100.0,2.0,2.0,199.0,1,0.3246753246753247,5
151,6,1,1,1.0,1,1,1,0,3,93.0,1.0,1.0,32.999999999999986,1,0.15584415584415584,8
152,6,2,2,1.0,2,0,1,0,128,95.0,1.0,1.0,175.00000000000009,1,0.12987012987012986,4
153,5,1,1,1.0,1,1,1,1,60,93.0,1.0,1.0,55.00000000000002,1,0.2987012987012987,8
154,6,2,2,1.0,1,1,1,0,90,98.0,1.0,1.0,125.00000000000004,1,0.2597402597402597,6
155,6,2,3,1.0,2,1,1,1,15,94.0,1.0,2.0,128.99999999999997,1,0.4025974025974026,4
156,6,1,2,1.0,1,0,0,0,1,100.0,1.0,1.0,74.99999999999997,1,0.14285714285714285,2
157,6,2,6,2.0,2,0,1,1,22,95.0,2.0,3.0,258.99999999999994,1,0.2857142857142857,7
158,1,2,2,1.0,2,1,1,0,14,97.0,1.0,1.0,144.99999999999997,0,0.2597402597402597,8
159,1,2,4,2.0,1,1,1,0,18,95.0,2.0,2.0,199.99999999999991,1,0.2857142857142857,3
161,6,1,2,1.0,2,1,1,0,21,93.0,1.0,1.0,70.00000000000003,1,0.11688311688311688,8
162,6,2,4,1.0,1,1,1,0,29,99.0,2.0,2.0,195.0,1,0.35064935064935066,7
163,6,2,2,1.0,1,1,1,0,7,91.0,1.0,1.0,99.0,1,0.16883116883116886,1
164,6,2,4,1.0,2,0,1,0,13,93.0,2.0,2.0,398.9999999999994,1,0.2597402597402597,9
165,5,1,2,1.0,1,1,1,0,12,93.0,1.0,1.0,55.00000000000002,1,0.16883116883116886,5
166,6,1,1,1.0,1,1,1,0,10,90.0,1.0,1.0,59.00000000000002,1,0.12987012987012986,9
167,1,2,4,1.0,1,1,1,0,44,99.0,1.0,2.0,175.00000000000009,1,0.1948051948051948,9
168,5,1,1,2.0,0,1,0,0,2,100.0,1.0,1.0,30.000000000000004,0,0.24675324675324675,5
170,6,2,4,2.0,2,1,0,1,36,98.0,2.0,2.0,159.0,1,0.35064935064935066,8
171,5,2,6,1.0,2,1,1,1,14,99.0,2.0,2.0,152.0,1,0.3636363636363637,7
172,6,1,2,1.0,2,1,1,1,6,100.0,1.0,1.0,65.99999999999997,1,0.1948051948051948,9
173,6,1,1,1.0,2,1,1,0,18,99.0,1.0,1.0,68.00000000000001,1,0.2597402597402597,3
175,6,2,2,1.0,1,1,0,0,19,96.0,1.0,1.0,199.99999999999991,0,0.15584415584415584,9
176,6,2,2,1.0,2,1,0,0,4,90.0,0.0,1.0,169.99999999999991,1,0.15584415584415584,9
177,5,2,4,1.0,0,1,1,1,6,100.0,2.0,2.0,155.00000000000003,1,0.2727272727272727,7
178,6,2,3,1.0,2,1,1,0,11,94.0,1.0,2.0,115.0,1,0.2597402597402597,9
179,6,2,2,1.5,0,1,0,0,43,92.0,1.0,1.0,179.99999999999991,1,0.2077922077922078,9
180,6,1,2,1.0,0,0,0,0,28,96.0,1.0,1.0,69.00000000000001,1,0.16883116883116886,5
182,5,2,4,1.0,2,1,1,1,30,97.0,1.0,2.0,99.0,1,0.23376623376623376,7
183,6,2,6,2.0,2,1,0,1,32,99.0,1.0,3.0,300.00000000000017,1,0.23376623376623376,9
184,6,2,2,1.0,2,1,1,0,7,100.0,1.0,1.0,74.99999999999997,1,0.2077922077922078,8
187,5,1,2,1.0,1,1,1,0,28,98.0,1.0,1.0,160.00000000000026,1,0.42857142857142855,6
188,1,1,4,1.0,2,1,1,0,14,94.0,1.0,1.0,85.00000000000001,1,0.3376623376623377,3
189,1,2,3,1.0,1,1,1,0,3,100.0,1.0,2.0,260.00000000000017,0,0.2207792207792208,8
190,6,1,3,1.0,1,1,0,0,24,95.0,1.0,3.0,115.0,1,0.3636363636363637,9
191,2,1,1,2.5,2,1,1,1,79,100.0,1.0,1.0,88.99999999999999,1,0.1948051948051948,7
192,3,1,2,1.0,2,1,1,0,6,93.0,1.0,1.0,45.00000000000002,1,0.3636363636363637,3
198,5,1,1,1.0,2,1,1,0,7,93.0,1.0,1.0,34.00000000000001,0,0.12987012987012986,0
199,6,2,2,1.0,2,1,0,0,8,93.0,0.0,1.0,164.9999999999998,0,0.2077922077922078,9
200,6,2,6,1.0,1,1,1,0,23,100.0,2.0,3.0,175.00000000000009,1,0.4805194805194805,8
201,6,2,2,1.0,1,1,1,0,1,100.0,1.0,2.0,199.99999999999991,1,0.3246753246753247,8
202,6,2,2,1.0,0,1,0,0,1,100.0,1.0,1.0,50.000000000000036,0,0.18181818181818185,2
203,6,1,2,1.0,2,1,1,0,11,98.0,1.0,1.0,88.99999999999999,0,0.2987012987012987,7
204,1,1,2,2.0,0,1,1,1,5,100.0,1.0,1.0,110.00000000000004,1,0.23376623376623376,8
205,6,2,3,1.0,2,1,1,1,13,95.0,1.0,2.0,211.00000000000003,1,0.37662337662337664,6
206,6,1,2,1.0,2,1,0,0,38,96.0,1.0,2.0,74.99999999999997,0,0.2207792207792208,9
207,2,2,4,1.0,2,0,0,1,10,98.0,2.0,3.0,138.99999999999997,1,0.5714285714285714,2
208,6,2,2,1.0,2,1,1,0,15,100.0,1.0,2.0,139.99999999999994,1,0.3636363636363637,6
209,6,1,2,1.0,0,0,1,0,11,93.0,1.0,1.0,64.99999999999999,1,0.14285714285714285,8
210,5,1,1,1.0,1,1,1,0,23,96.0,1.0,1.0,76.99999999999996,1,0.23376623376623376,0
211,6,2,3,1.0,1,1,1,0,16,98.0,0.0,1.0,149.99999999999997,1,0.15584415584415584,9
212,6,2,6,2.0,2,1,0,1,31,96.0,2.0,2.0,199.0,1,0.23376623376623376,7
214,6,2,3,1.0,2,1,1,1,44,90.0,0.0,1.0,119.99999999999996,1,0.23376623376623376,3
215,6,1,3,2.0,2,1,1,0,70,94.0,1.0,2.0,56.99999999999997,1,0.2207792207792208,8
218,6,2,2,1.0,2,1,1,0,25,91.0,1.0,2.0,175.00000000000009,1,0.2727272727272727,9
219,6,1,2,1.0,2,1,1,1,2,100.0,1.0,1.0,74.99999999999997,1,0.2597402597402597,5
220,5,1,2,1.5,2,1,0,1,39,98.0,1.0,1.0,45.00000000000002,1,0.2727272727272727,7
223,4,2,5,1.0,2,1,1,0,32,96.0,1.0,1.0,85.00000000000001,1,0.35064935064935066,3
224,5,2,6,1.5,1,1,1,0,40,95.0,1.0,2.0,128.99999999999997,1,0.35064935064935066,5
226,5,1,3,1.0,1,1,1,1,46,96.0,1.0,2.0,119.99999999999996,0,0.2727272727272727,6
227,6,1,1,1.0,1,1,0,0,6,100.0,1.0,1.0,79.99999999999997,0,0.16883116883116886,9
228,6,1,2,1.0,1,1,1,1,8,89.0,1.0,1.0,79.0,1,0.18181818181818185,8
229,5,1,1,2.0,2,1,1,0,7,94.0,1.0,1.0,50.000000000000036,0,0.09090909090909093,8
231,5,1,2,1.0,1,1,0,0,21,99.0,1.0,1.0,88.99999999999999,1,0.1948051948051948,6
232,6,2,4,1.0,2,1,1,1,70,89.0,1.0,2.0,128.99999999999997,0,0.2597402597402597,8
233,6,2,2,1.0,2,0,1,0,19,91.0,1.0,1.0,125.00000000000004,1,0.2727272727272727,7
235,4,2,2,1.0,1,1,0,0,41,99.0,1.0,1.0,195.0,1,0.5584415584415584,4
236,6,2,2,1.0,2,1,1,0,9,93.0,0.0,1.0,119.99999999999996,1,0.2207792207792208,0
238,6,2,4,1.0,2,1,1,0,23,88.0,1.0,1.0,179.99999999999991,0,0.23376623376623376,7
239,6,2,4,1.0,2,1,1,0,19,94.0,1.0,3.0,129.99999999999997,1,0.2857142857142857,2
240,5,2,2,1.0,2,1,1,0,15,95.0,1.0,1.0,99.0,1,0.2077922077922078,8
241,6,1,2,1.0,1,1,1,1,49,99.0,1.0,2.0,70.00000000000003,0,0.2987012987012987,7
242,6,2,2,1.0,2,1,1,0,12,94.0,1.0,1.0,147.99999999999994,1,0.1038961038961039,9
244,6,2,5,1.0,2,1,0,1,43,95.0,2.0,3.0,491.9999999999994,1,0.2727272727272727,9
245,6,1,2,1.0,2,1,1,0,54,98.0,1.0,1.0,124.00000000000004,1,0.2077922077922078,6
246,6,0,1,1.0,2,1,1,1,72,93.0,1.0,3.0,50.000000000000036,0,0.2857142857142857,7
247,6,1,3,1.5,2,1,1,0,12,88.0,1.0,2.0,89.99999999999967,0,0.2597402597402597,6
248,6,1,2,2.0,0,1,1,0,4,100.0,1.0,1.0,50.000000000000036,1,0.3246753246753247,0
249,2,2,5,1.5,2,1,1,0,17,96.0,2.0,3.0,129.99999999999997,1,0.6363636363636364,2
250,6,1,2,2.0,0,1,1,0,1,100.0,1.0,1.0,89.99999999999967,1,0.1038961038961039,9
251,3,2,4,1.0,2,0,1,0,11,100.0,1.0,2.0,278.99999999999994,1,0.2077922077922078,6
253,6,2,3,1.0,2,1,1,1,9,98.0,1.0,2.0,138.00000000000006,1,0.2727272727272727,9
255,6,1,2,1.5,1,0,0,0,10,94.0,1.0,1.0,100.00000000000004,1,0.15584415584415584,9
256,6,1,4,1.0,0,1,1,0,25,98.0,1.0,1.0,245.00000000000009,1,0.18181818181818185,9
257,2,1,2,1.5,0,1,1,0,41,99.0,1.0,1.0,88.99999999999999,1,0.2857142857142857,1
258,5,1,2,1.0,1,1,0,0,7,93.0,1.0,1.0,64.99999999999999,0,0.2207792207792208,0
260,5,1,2,1.5,0,0,1,0,1,100.0,1.0,1.0,89.99999999999967,0,0.2727272727272727,8
261,6,2,3,1.0,2,1,0,0,28,90.0,1.0,1.0,125.00000000000004,1,0.16883116883116886,9
264,6,1,2,1.0,2,1,1,0,62,96.0,1.0,1.0,98.00000000000004,1,0.24675324675324675,7
265,6,2,2,1.0,1,1,1,1,20,97.0,1.0,1.0,119.99999999999996,1,0.1948051948051948,8
267,5,1,1,2.0,0,1,1,0,7,94.0,1.0,1.0,50.000000000000036,1,0.2597402597402597,7
268,6,1,2,1.0,0,1,1,0,8,94.0,1.0,1.0,125.00000000000004,0,0.2207792207792208,5
269,6,1,2,2.0,2,1,1,0,24,94.0,1.0,1.0,74.99999999999997,1,0.3116883116883117,7
272,6,1,2,1.0,2,1,1,0,2,100.0,1.0,1.0,95.0,1,0.2077922077922078,9
273,6,2,4,1.0,2,1,1,0,14,88.0,1.0,2.0,199.99999999999991,1,0.24675324675324675,9
274,6,1,2,1.0,2,1,1,0,88,97.0,1.0,1.0,95.0,1,0.16883116883116886,9
275,6,2,4,1.0,0,1,1,0,34,97.0,1.0,2.0,129.99999999999997,1,0.18181818181818185,9
276,6,1,2,1.0,1,0,0,0,15,99.0,1.0,1.0,64.99999999999999,1,0.23376623376623376,9
281,6,2,4,1.0,2,1,1,0,3,100.0,1.0,2.0,149.0,1,0.2077922077922078,8
282,1,2,3,1.0,2,1,1,0,73,99.0,1.0,2.0,171.99999999999991,1,0.2597402597402597,6
283,6,1,2,1.0,2,1,1,0,21,97.0,1.0,1.0,74.99999999999997,1,0.2597402597402597,8
284,4,2,2,1.0,2,1,1,0,17,98.0,1.0,1.0,314.9999999999997,1,0.5064935064935064,6
285,6,2,3,1.0,1,1,1,1,16,96.0,1.0,1.0,249.99999999999991,1,0.24675324675324675,6
286,2,2,4,1.0,1,1,0,1,2,100.0,2.0,2.0,160.00000000000026,1,0.24675324675324675,9
287,6,1,2,1.0,2,1,1,1,81,93.0,1.0,1.0,59.99999999999999,1,0.2597402597402597,8
288,6,1,1,1.0,1,1,1,1,7,97.0,1.0,1.0,45.00000000000002,1,0.2597402597402597,8
289,6,2,2,1.0,1,1,1,1,32,98.0,1.0,1.0,475.00000000000085,1,0.4675324675324675,9
290,4,2,4,1.0,0,0,0,0,2,100.0,1.0,2.0,149.99999999999997,1,0.23376623376623376,3
291,6,1,1,1.0,0,0,1,0,4,100.0,1.0,1.0,179.99999999999991,1,0.2987012987012987,9
294,6,2,2,1.0,2,1,1,0,18,98.0,1.0,1.0,249.99999999999991,1,0.2857142857142857,6
296,6,2,4,1.5,1,1,1,0,37,100.0,2.0,2.0,275.00000000000057,1,0.2597402597402597,4
297,6,2,5,1.0,2,1,1,1,9,89.0,2.0,3.0,320.00000000000017,1,0.24675324675324675,7
298,5,1,4,1.5,1,0,1,1,26,89.0,1.0,3.0,59.99999999999999,1,0.16883116883116886,9
300,5,1,2,1.0,1,1,0,1,58,96.0,1.0,1.0,89.99999999999967,1,0.2597402597402597,6
301,6,1,2,1.0,1,0,1,0,31,99.0,1.0,1.0,85.00000000000001,1,0.1948051948051948,9
302,5,1,1,1.0,2,1,1,1,136,96.0,1.0,1.0,69.00000000000001,0,0.3376623376623377,7
303,6,1,3,1.0,1,1,0,0,3,100.0,1.0,1.0,199.99999999999991,1,0.2597402597402597,9
304,3,1,2,1.0,2,1,1,1,135,89.0,1.0,2.0,74.00000000000003,1,0.37662337662337664,7
306,5,2,4,1.0,1,1,1,0,13,100.0,1.0,3.0,119.99999999999996,1,0.2077922077922078,7
307,6,2,4,1.0,2,1,1,1,16,98.0,2.0,3.0,142.00000000000014,1,0.2987012987012987,7
308,6,2,2,1.0,2,1,1,0,24,93.0,1.0,1.0,204.0,1,0.2597402597402597,8
309,5,1,2,1.0,1,1,0,0,3,100.0,1.0,1.0,100.00000000000004,1,0.2987012987012987,1
310,6,2,3,1.0,0,1,1,0,4,100.0,1.0,1.0,285.00000000000057,1,0.2597402597402597,9
313,5,1,2,1.0,2,1,0,0,23,95.0,1.0,1.0,85.00000000000001,1,0.15584415584415584,7
314,5,2,1,1.0,0,1,0,0,69,98.0,0.0,1.0,119.00000000000013,1,0.2077922077922078,7
315,6,1,2,1.0,2,1,1,0,48,98.0,1.0,1.0,85.00000000000001,1,0.2987012987012987,8
316,5,1,1,1.0,1,1,1,0,1,100.0,1.0,1.0,55.00000000000002,1,0.11688311688311688,8
317,6,1,2,1.0,0,1,1,1,59,88.0,1.0,1.0,55.00000000000002,1,0.16883116883116886,2
318,5,2,5,1.0,1,1,1,0,31,95.0,1.0,3.0,125.00000000000004,1,0.18181818181818185,8
319,6,1,2,1.0,1,0,0,1,5,90.0,1.0,1.0,100.00000000000004,0,0.1948051948051948,9
320,6,2,4,1.0,2,1,1,0,6,96.0,2.0,2.0,199.0,1,0.16883116883116886,6
321,6,1,2,2.0,2,1,1,0,51,96.0,1.0,1.0,72.0,1,0.3116883116883117,7
322,5,2,4,2.0,2,1,1,0,3,100.0,2.0,2.0,249.99999999999991,1,0.35064935064935066,7
323,5,1,2,3.5,0,1,0,1,14,89.0,1.0,1.0,96.0,0,0.2077922077922078,6
324,6,2,6,2.0,2,1,1,1,37,97.0,2.0,3.0,149.99999999999997,1,0.2207792207792208,7
325,6,2,4,1.5,2,1,1,0,22,99.0,2.0,2.0,599.0,1,0.4935064935064935,6
326,6,2,2,1.0,0,0,0,1,2,90.0,0.0,1.0,219.00000000000003,1,0.16883116883116886,6
327,6,1,1,1.0,1,1,1,0,144,96.0,1.0,1.0,89.99999999999967,1,0.2597402597402597,9
328,4,1,3,1.0,0,0,1,0,4,100.0,1.0,2.0,64.99999999999999,1,0.23376623376623376,3
329,6,1,4,1.0,1,1,1,0,40,97.0,1.0,2.0,199.0,1,0.2727272727272727,0
330,5,1,2,1.5,1,1,1,0,5,96.0,1.0,1.0,59.99999999999999,1,0.15584415584415584,8
331,6,0,2,1.0,2,0,1,0,10,95.0,1.0,1.0,41.000000000000036,1,0.2207792207792208,3
